Tid;item1;item2;item3;item4;item5;item6
'0.4 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.41667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.43333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.45 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.46667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.48333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.5 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.51667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.53333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.55 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.56667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.58333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.6 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.61667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.63333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.65 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.66667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.68333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.7 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.71667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.73333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.75 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.76667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.78333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.8 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.81667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.83333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.85 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.86667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.88333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.9 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.91667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.93333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.95 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.96667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.98333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.0167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.0333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.05 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.0667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.0833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.1 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.1167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.1333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.15 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.1667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.1833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.2 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.2167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.2333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.25 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.2667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.2833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.3 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.3167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.3333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.35 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.3667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.3833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.4 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.4167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.4333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.45 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.4667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.4833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.5 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.5167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.5333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.55 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.5667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.5833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.6 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.6167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.6333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.65 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.6667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.6833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.7 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.7167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.7333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.75 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.7667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.7833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.8 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.8167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.8333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.85 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.8667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.8833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.9 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.9167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.9333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.95 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.9667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'1.9833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.0167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.0333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.05 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.0667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.0833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.1 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.1167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.1333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.15 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.1667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.1833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.2 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.2167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.2333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.25 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.2667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.2833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.3 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.3167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.3333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.35 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.3667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.3833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.4 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.4167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.4333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.45 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.4667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.4833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.5 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.5167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.5333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.55 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.5667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.5833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.6 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.6167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.6333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.65 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.6667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.6833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.7 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.7167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.7333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.75 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.7667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.7833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.8 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.8167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.8333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.85 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.8667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.8833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.9 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.9167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.9333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.95 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.9667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'2.9833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.0167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.0333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.05 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.0667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.0833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.1 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.1167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.1333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.15 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.1667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.1833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.2 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.2167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.2333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.25 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.2667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.2833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.3 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.3167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.3333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.35 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.3667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.3833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.4 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.4167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.4333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.45 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.4667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.4833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.5 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.5167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.5333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.55 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.5667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.5833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.6 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.6167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.6333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.65 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.6667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.6833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.7 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.7167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.7333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.75 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
