Tid;item1;item2;item3;item4;item5;item6
'0 sec';[1093,944,60,44];[1159,944,61,44];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.016667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.033333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.05 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.066667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.083333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.1 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.11667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.13333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.15 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.16667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.18333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.2 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.21667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.23333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.25 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.26667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.28333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.3 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.31667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.33333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.35 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.36667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'0.38333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
